mun_poly_fid,mun_poly_bdr_line_distm,mun_poly_bdr_line_rankn,mun_poly_bdr_line_fromx,mun_poly_bdr_line_fromy,mun_poly_bdr_line_nearx,mun_poly_bdr_line_neary,mun_poly_bdr_line_angle,mun_poly_codi,mun_poly_nome,mun_poly_lenm,mun_poly_arm2,mun_poly_cenx,mun_poly_ceny,mun_seat_codi,mun_seat_fid,mun_seat_nome,mun_seat_cap_poly_name,mun_seat_cap_poly_code,mun_seat_cap_poly_abbr,mun_seat_cap_poly_dnam,mun_seat_cap_poly_limt,mun_seat_cap_poly_type,mun_seat_pntx,mun_seat_pnty,mun_seat_cap_poly_fid,mun_seat_cap_poly_lenm,mun_seat_cap_poly_arm2,mun_seat_cap_poly_cenx,mun_seat_cap_poly_ceny,mun_seat_cap_don_death_year,mun_seat_cap_don_death_type,mun_seat_cap_don_letter_date,mun_seat_cap_foral_date,mun_seat_cap_otherdocs_date,mun_seat_cap_grant_date,mun_seat_cap_trnsfr_year,mun_seat_cap_crown_year,mun_seat_cap_settle_year,mun_seat_cap_pop1536_prtgs,mun_seat_cap_pop1546_prtgs,mun_seat_cap_pop1546_afrcns,mun_seat_cap_povs_1530_1549,mun_seat_cap_vilas_1530_1549,mun_seat_cap_time_auto,mun_seat_cap_treat,mun_treat,mun_poly_runvarm,mun_poly_runvarkm,mun_poly_runvarm_abs,mun_poly_runvarkm_abs,mun_poly_uf
222,792690.4262259438,7,228371.1719000004,-3281823.5,543251.1417472108,-2554356.16986119,66.59490907860051,4322004,Triumpho,157809.180234071,822138109.3327141,234747.0909453917,-3305224.247723674,4322004,471,Triumpho,Placebo 11,0K,PC11,,,Placebo,220291.25,-3315841.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
223,813876.5275916666,7,192793.0155999996,-3288913.25,543251.1417472108,-2554356.16986119,64.49413064209271,4308805,Santo Amaro,149789.7522388108,818442737.3347766,193979.8605872098,-3304949.576950864,4308805,1297,Santo Amaro,Placebo 11,0K,PC11,,,Placebo,203534.2608999982,-3314652.9088,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
224,930912.9568551879,7,12656.90630000085,-3319254,543251.1417472108,-2554356.16986119,55.25173307018173,4318309,São Gabriel,653952.9033809479,8448532229.525845,-43551.12577601858,-3342750.714619473,4318309,477,São Gabriel,Placebo 11,0K,PC11,,,Placebo,-30771.53119999915,-3357265.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
225,889785.9608301579,7,84519.96090000123,-3316776.5,543251.1417472108,-2554356.16986119,58.96562270079205,4319604,São Sepé,311864.4558256964,3199697600.589061,35465.52194906757,-3337621.771744602,4319604,478,São Sepé,Placebo 11,0K,PC11,,,Placebo,41877.79300000146,-3337810.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
226,822381.6342310414,7,232885.625,-3315923.5,543251.1417472108,-2554356.16986119,67.82737333236199,4318408,São Jeronymo,299507.2777483609,3296515356.572052,200957.2178183417,-3349365.780327994,4318408,480,São Jeronymo,Placebo 11,0K,PC11,,,Placebo,219854.2188000008,-3317589.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
227,800891.9168195105,7,316058.6875,-3322348,543251.1417472108,-2554356.16986119,73.52037856154215,4323002,Viamão,218223.8364709965,1560205955.106213,300982.0862932605,-3341677.004085242,4323002,481,Viamão,Placebo 11,0K,PC11,,,Placebo,286947.0313000008,-3332660.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
228,982070.9387970481,7,-67672.0625,-3323275,543251.1417472108,-2554356.16986119,51.53207301115261,4316402,Rosario,478694.4802148275,4349826606.246684,-107158.3931628838,-3356415.281800606,4316402,482,Rosario,Placebo 11,0K,PC11,,,Placebo,-87976.03119999915,-3348923.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
229,1059835.544577878,8,-161260.9375,-3346135.25,543251.1417472108,-2554356.16986119,48.33783514314251,4315305,Quarahy,306151.0203510821,3148260718.166739,-206978.0049681556,-3352849.177571011,4315305,483,Quarahy,Placebo 11,0K,PC11,,,Placebo,-235587.4844000004,-3365437.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
230,888984.6773574617,7,163533.4530999996,-3358164.75,543251.1417472108,-2554356.16986119,64.71403617910254,4306908,Encruzilhada,441169.7044129645,5074803839.879981,141517.3561259482,-3392268.752138131,4306908,484,Encruzilhada,Placebo 11,0K,PC11,,,Placebo,141826.8438000008,-3381154.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
231,1034534.496353859,8,-93636.98440000042,-3369607.75,543251.1417472108,-2554356.16986119,52.00245338170085,4317103,Sant’Anna do Livramento,570525.7812435654,6961667951.947233,-149480.9895954827,-3402911.374654707,4317103,485,Sant’Anna do Livramento,Placebo 11,0K,PC11,,,Placebo,-146551.7344000004,-3419694,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
232,972242.3157271136,7,24661.29100000113,-3376742.75,543251.1417472108,-2554356.16986119,57.76482435947062,4311502,Lavras,391136.9075933674,2601979708.411582,-14609.04788786633,-3405401.335429475,4311502,486,Lavras,Placebo 11,0K,PC11,,,Placebo,10047.66310000047,-3410069.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
233,867340.2030143818,7,263137.5,-3375218.75,543251.1417472108,-2554356.16986119,71.15815007906073,4321105,São João do Camaquam,263156.6559351819,1498515977.867881,235387.5330186524,-3393321.73290762,4321105,487,São João do Camaquam,Placebo 11,0K,PC11,,,Placebo,249535.5625,-3397468.25,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
234,848559.0087594793,7,351962.7188000008,-3381073.25,543251.1417472108,-2554356.16986119,76.97198986545304,4318507,São José do Norte,595428.8849069107,3738046484.514627,279558.9136665819,-3456721.12167693,4318507,495,São José do Norte,Placebo 11,0K,PC11,,,Placebo,185013.3125,-3544973.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
235,898383.8273181078,7,201907.7188000008,-3385366.5,543251.1417472108,-2554356.16986119,67.66924289856382,4303509,Dôres de Camaquam,365089.5686960701,3041253157.952309,207895.9723107886,-3425344.161454601,4303509,497,Dôres de Camaquam,Placebo 11,0K,PC11,,,Placebo,209256.9844000004,-3416332.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
236,1026186.42443393,7,5606.850600000471,-3428425.5,543251.1417472108,-2554356.16986119,58.40412533256333,4306601,Dom Pedrito,419819.1686510896,5189530857.96045,-63456.24465898878,-3437225.915266668,4306601,488,Dom Pedrito,Placebo 11,0K,PC11,,,Placebo,-64292.16409999877,-3429075.25,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
237,997886.9549291576,7,38256.72269999981,-3415029.75,543251.1417472108,-2554356.16986119,59.59800774910017,4301602,Bagé,529984.4019552625,7186734454.768477,-317.5552396108469,-3474191.2749206,4301602,489,Bagé,Placebo 11,0K,PC11,,,Placebo,-10178.37110000104,-3467535.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
238,943013.3130312352,7,167418.6405999996,-3419240,543251.1417472108,-2554356.16986119,66.51279813736674,4304507,Cangussú,340328.7074637368,3486598937.464784,127085.4383655753,-3454966.443904791,4304507,490,Cangussú,Placebo 11,0K,PC11,,,Placebo,125965.2969000004,-3475342,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
239,971081.8730133983,7,108462.0938000008,-3422664,543251.1417472108,-2554356.16986119,63.40143095401514,4314605,Piratiny,399598.372961904,3563046084.916662,85270.32517931388,-3479654.235019531,4314605,491,Piratiny,Placebo 11,0K,PC11,,,Placebo,85154.10940000042,-3480813.25,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
240,993243.5277965706,7,74340.33590000123,-3429944.75,543251.1417472108,-2554356.16986119,61.82926625612233,4314506,Pinheiro Machado,407591.8577639742,2768376560.683344,52173.20896215278,-3479981.956402431,4314506,492,Pinheiro Machado,Placebo 11,0K,PC11,,,Placebo,58747.73050000146,-3495076.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
241,945900.2567334144,7,202390.3594000004,-3436706,543251.1417472108,-2554356.16986119,68.87794247631864,4318804,São Lourenço,282315.8474251515,2039453665.946416,179088.6678609544,-3458311.212991113,4318804,493,São Lourenço,Placebo 11,0K,PC11,,,Placebo,192331.1094000004,-3473054.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
242,994116.6733753744,7,161601.1405999996,-3472294.75,543251.1417472108,-2554356.16986119,67.42399468663173,4314407,Pelotas,313143.4587199553,2953355042.209464,150792.1168138645,-3502503.217214232,4314407,494,Pelotas,Placebo 11,0K,PC11,,,Placebo,157006.0625,-3517573.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
243,1031857.259113175,7,118261.25,-3494629,543251.1417472108,-2554356.16986119,65.67771100873529,4301305,Arroio Grande,404494.667647454,3634256493.345432,104147.4024488301,-3551748.462952659,4301305,499,Arroio Grande,Placebo 11,0K,PC11,,,Placebo,86055.16409999877,-3568365.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
244,1068617.243952957,7,100729.3046999983,-3527041.75,543251.1417472108,-2554356.16986119,65.53690998950768,4307104,Herval,311922.1089288879,2797438203.072325,45075.79491533218,-3537946.934823993,4307104,496,Herval,Placebo 11,0K,PC11,,,Placebo,57102.13280000165,-3544442.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
245,1035376.792687688,7,168623.7969000004,-3519581.25,543251.1417472108,-2554356.16986119,68.78755526195251,4315602,Rio Grande,283057.2456432648,2839666326.067027,151444.4732220276,-3566074.179641142,4315602,498,Rio Grande,Placebo 11,0K,PC11,,,Placebo,179594.4844000004,-3547126.5,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
246,1117276.111615123,7,61352.68360000104,-3562364,543251.1417472108,-2554356.16986119,64.44892856591474,4311007,Jaguarão,225596.0865619534,2072008576.87031,62736.20048300151,-3587371.754697105,4311007,500,Jaguarão,Placebo 11,0K,PC11,,,Placebo,58615.14449999854,-3604611.75,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
247,1129423.181897742,7,147958.3905999996,-3612345,543251.1417472108,-2554356.16986119,69.51297529465951,4317301,Santa Victoria do Palmar,451910.2734417759,5451823482.682845,91366.99612315279,-3673053.345734756,4317301,501,Santa Victoria do Palmar,Placebo 11,0K,PC11,,,Placebo,58710.07030000165,-3710283.25,13,50.75807616412933,37.21113974163736,-52.51026315457477,-28.77230560800531,,,,,,,,,,,,,,,,,,,,,,43
248,94687.7291680613,2,1878823.625,-676344.125,1875563.313292827,-770975.7075851824,-91.97321272288411,2400208,Assú,280863.1409166285,2605661630.202248,1889295.347694265,-619107.0111264486,2400208,507,Assú,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1893415.75,-644061.4375,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-94687.7291680613,-94.6877291680613,94687.7291680613,94.6877291680613,24
249,67136.90378815649,1,1832599.375,-702337.8125,1830321.854574849,-769436.0744072447,-91.94404779289805,2402303,Caraúbas,180225.9060328115,1504610672.10098,1821049.535984076,-670567.9917194814,2402303,513,Caraúbas,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1820945,-666856.1875,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-67136.90378815649,-67.13690378815649,67136.90378815649,67.13690378815649,24
250,33725.93560739759,2,1710417.875,-731793.75,1709360.891976317,-765503.1184230656,-91.79596454577779,2412500,São Miguel,117313.4846602809,503854835.46875,1720237.299060394,-713158.560822812,2412500,525,São Miguel,Ceara,4,CE,Antonio Cardoso de Barros,Camocim,Actual,1715500.625,-711980.0625,2,16.84991597197908,8.501530003692768,-39.71208210822603,-4.887770855364016,,,19/11/1535,20/11/1535,13/09/1535,19/11/1535,1549,1549,1604,,,,,,-55,0,0,-33725.93560739759,-33.72593560739759,33725.93560739759,33.72593560739759,24
251,63792.08278615437,2,1765944.75,-703484.1875,1763896.417571301,-767243.3763315489,-91.84005560470409,2410207,Port’Alegre,134594.460759297,837550159.5078125,1764823.788708914,-685160.8366174718,2410207,519,Port’Alegre,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1772461.25,-692062.6875,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-63792.08278615437,-63.79208278615437,63792.08278615437,63.79208278615437,24
252,14404.5022809154,1,2082015.125,-764070.4375,2081463.703300287,-778464.381367821,-92.19388752281579,2409803,Pedro Velho,75122.41886543202,257188736.2851563,2073139.777209037,-753935.8160602618,2409803,536,Pedro Velho,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2076881.25,-750164.6875,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-14404.5022809154,-14.4045022809154,14404.5022809154,14.4045022809154,24
253,59038.52913218539,1,2078522.625,-719269.875,2076262.558983989,-778265.1292472288,-92.19388752281606,2408201,Papary,86762.61981744462,328425164.9492188,2083595.363987397,-705672.2896840894,2408201,522,Papary,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2079720.25,-709694.6875,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-59038.52913218539,-59.03852913218539,59038.52913218539,59.03852913218539,24
254,109501.4965369189,1,2081535.5,-668885.3125,2077343.650801464,-778306.5451019114,-92.1938875228162,2402600,Ceará-Mirim,138137.802968633,905613860.484375,2063152.50680869,-653015.9289193532,2402600,510,Ceará-Mirim,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2057449.875,-655751.0625,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-109501.4965369189,-109.5014965369189,109501.4965369189,109.5014965369189,24
255,167765.8315973408,3,1876174.8167,-603131.4055000003,1870398.261388914,-770797.7577006887,-91.97321272288413,2401107,Areia Branca,190460.3374590985,883209597.7486911,1870765.5366104,-576515.0314635552,2401107,504,Areia Branca,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1870034.375,-571772.9375,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-167765.8315973408,-167.7658315973408,167765.8315973408,167.7658315973408,24
256,68773.70474361964,2,1838349.625,-700895.25,1836016.578516934,-769629.3707717857,-91.94404779289813,2401305,Augusto Severo,226967.4047136036,2474085111.446517,1854406.99128679,-665148.6557501687,2401305,514,Augusto Severo,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1848013.125,-675877.5625,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-68773.70474361964,-68.77370474361965,68773.70474361964,68.77370474361965,24
257,50246.46327886126,1,1795493,-718009.0625,1793834.27309601,-768228.1395234971,-91.89178133126859,2409308,Patú,169637.2082301966,858717654.1328125,1809463.243208877,-699442.4865981397,2409308,518,Patú,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1811020.625,-703119.375,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-50246.46327886126,-50.24646327886126,50246.46327886126,50.24646327886126,24
258,42351.59923956277,2,1902647.125,-729540.4375,1901169.75266346,-771866.2609311839,-91.99908333726877,2403806,Flôres,138957.2924453474,803203384.453125,1906745.021924678,-713779.8265988588,2403806,524,Flôres,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1901528.125,-707930.9375,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-42351.59923956277,-42.35159923956277,42351.59923956277,42.35159923956277,24
259,5102.050979635103,2,1938935,-768095.875,1938750.703693574,-773194.5963171768,-92.0700887242693,2400109,Acary,197911.2997185589,1212606872.628906,1916440.249304394,-742855.4092113111,2400109,532,Acary,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,1920185,-744202.375,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-5102.050979635103,-5.102050979635103,5102.050979635103,5.102050979635103,24
260,33646.44716213558,2,1935107.75,-739394.5,1933892.372897522,-773018.9890687302,-92.07008872426744,2403103,Curraes Novos,209958.7738123081,1494677561.003906,1945341.624285293,-711009.6003834963,2403103,527,Curraes Novos,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,1934585.875,-724434,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-33646.44716213558,-33.64644716213558,33646.44716213558,33.64644716213558,24
261,81321.39375439481,1,2089775.375,-697401.75,2086662.294083172,-778663.5356643737,-92.19388752281618,2408102,Natal,102572.892704368,313766412.1906568,2078180.95489588,-681598.7871840562,2408102,516,Natal,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2080779.375,-675213.375,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-81321.39375439481,-81.32139375439482,81321.39375439481,81.32139375439482,24
262,54538.70009006512,1,2036906.375,-722198.75,2034873.788499792,-776699.5609997754,-92.13583389315777,2412203,São José de Mipibú,169468.6604019718,893398366.421875,2056212.656465936,-709161.5664087578,2412203,523,São José de Mipibú,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2076558.625,-707674.5625,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-54538.70009006512,-54.53870009006512,54538.70009006512,54.53870009006512,24
263,30463.97133510854,1,2051055.25,-746821.125,2049906.899347529,-777263.4448900032,-92.16029738832812,2411502,Santo Antonio,117078.3910280572,744335940.3710938,2046428.17462593,-730146.8602900769,2411502,533,Santo Antonio,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2048942.75,-734173.75,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-30463.97133510854,-30.46397133510855,30463.97133510854,30.46397133510855,24
264,32069.42312833457,1,2059388.375,-745528.875,2058179.50624915,-777575.505651714,-92.16029738832793,2404200,Goyanninha,131553.722101495,590754129.9804688,2074134.988764842,-732650.2747051177,2404200,531,Goyanninha,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2078887.75,-730129.8125,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-32069.42312833457,-32.06942312833456,32069.42312833457,32.06942312833456,24
265,14404.5022809154,1,2082015.125,-764070.4375,2081463.703300287,-778464.381367821,-92.19388752281579,2402204,Canguaretama,122639.3976038765,603926784.765625,2090328.738123215,-747106.5393364765,2402204,534,Canguaretama,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2087356.125,-743650.6875,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-14404.5022809154,-14.4045022809154,14404.5022809154,14.4045022809154,24
266,146965.2499646506,2,1901536.5,-624824.3125,1896409.836576917,-771700.1172444121,-91.99908333726897,2407203,Macau,238612.1810635264,1747672500.600132,1934809.903103138,-606085.6944117576,2407203,505,Macau,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,1925265.125,-591580,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-146965.2499646506,-146.9652499646506,146965.2499646506,146.9652499646506,24
267,85822.31795665773,2,1782474.625,-681983.8125,1779641.474595614,-767759.3539919648,-91.89178133126872,2401008,Apody,208729.1838969198,2180358713.330069,1790730.871310221,-649335.8909166389,2401008,508,Apody,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1794539.625,-651334.375,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-85822.31795665773,-85.82231795665773,85822.31795665773,85.82231795665773,24
268,121454.4641061002,3,1834390,-648049.75,1830269.836466689,-769434.3087534046,-91.944047792898,2408003,Mossoró,305373.7304143514,4526996821.858618,1834183.370350574,-602168.814647023,2408003,503,Mossoró,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1846383.25,-597849.5625,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-121454.4641061002,-121.4544641061002,121454.4641061002,121.4544641061002,24
269,95280.07354398906,2,1961596.125,-678678.0625,1958154.417792408,-773895.9550730095,-92.07008872426739,2400802,Angicos,260475.1211329857,2685212932.023438,1942621.979893538,-643662.1241307963,2400802,512,Angicos,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,1927170,-655334.4375,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-95280.07354398906,-95.28007354398906,95280.07354398906,95.28007354398906,24
270,66474.82410688412,2,1915495.75,-705851,1913176.874963986,-772285.3665478082,-91.99908333726886,2411403,Sant’Anna do Mattos,295084.0192390291,2800689313.742188,1916139.703752266,-674221.4658432936,2411403,515,Sant’Anna do Mattos,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,1920121.875,-688895.125,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-66474.82410688412,-66.47482410688411,66474.82410688412,66.47482410688411,24
271,0,1,1827303.204899998,-769333.6122500002,1827303.204899998,-769333.6122500002,0,2413409,Serra Negra,178507.5809748778,1022564842.945313,1848829.12108152,-766208.3741725059,2413409,535,Serra Negra,Rio Grande do Norte 1,1B,RN1,Aires da Cunha,Mucuripe,Actual,1835477.5,-767896.625,23,8.954763732048743,3.841045694990605,-37.65268863505623,-5.578087636514122,1536,Shipwreck,Parcial,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,0,0,0,0,24
272,16575.53094331873,1,2063294.25,-761181.125,2062669.429238306,-777744.8753322368,-92.16029738832761,2408300,Nova Cruz,224038.6408011632,1211962412.082031,2026132.841743969,-742990.7034077194,2408300,537,Nova Cruz,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2053227.375,-753827.625,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-16575.53094331873,-16.57553094331873,16575.53094331873,16.57553094331873,24
273,77183.29900916152,1,2016923.332699999,-698793.9640999995,2014075.394082298,-775924.7030538527,-92.11460140651744,2499901,São Gonçalo,205392.189817907,1359677125.118066,2032671.38829834,-675786.1830589323,2499901,1212,São Gonçalo,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2068417.176399998,-670732.0587000009,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-77183.29900916152,-77.18329900916152,77183.29900916152,77.18329900916152,24
274,57663.71249408118,1,2020441.125,-718457.5,2018292.073347251,-776081.1523972047,-92.13583389315778,2407104,Macahyba,167180.88658635,1196340389.844939,2041227.757756127,-695019.1786930285,2407104,517,Macahyba,Rio Grande do Norte 2,2B,RN2,Joao de Barros,Ponto intermediario,Actual,2064550.5,-682054.6875,24,6.625383854632497,2.373052042595666,-35.9091886469508,-5.930120552831927,,,08/03/1535,11/03/1535,18/06/1535,08/03/1535,,1580,1598,375,,,,,-18,0,0,-57663.71249408118,-57.66371249408117,57663.71249408118,57.66371249408117,24
275,21884.06028012412,1,1309268.625,-2396671,1310992.948748604,-2374854.978319728,85.48077517550591,3301009,Campos,464019.4279958595,4936965734.786881,1299266.359288036,-2453460.769011798,3301009,540,Campos,Sao Tome,10,ST,Pero de Gois [da Silveira],Rio Itapemirim,Actual,1309701.375,-2460162,27,6.434213416098506,1.903492181956445,-41.8165988795434,-21.51994699087136,,,28/01/1536,29/02/1536,10/03/1534,28/01/1536,,1619,1540,40,,,,1,79,0,0,-21884.06028012412,-21.88406028012412,21884.06028012412,21.88406028012412,33
